JO_neuron,Cluster,pre_root_id
JO-B_L112,11,720575940639405912
JO-B_L130,11,720575940623146378
JO-B_L53,12,720575940617517661
JO-B_L121,12,720575940643418990
JO-B_L107,12,720575940627839304
JO-B_L147,12,720575940619940811
JO-B_L157,12,720575940630820347
JO-B_L61,12,720575940629269630
JO-B_L23,12,720575940624594276
JO-B_L25,12,720575940618856896
JO-B_L131,12,720575940642414989
JO-B_L50,12,720575940613776962
JO-B_L143,12,720575940604274622
JO-B_L148,12,720575940609816014
JO-B_L142,12,720575940624562618
JO-B_L68,12,720575940613956767
JO-B_L158,12,720575940621722111
JO-B_L135,12,720575940634781594
JO-B_L65,12,720575940610341525
JO-B_L51,12,720575940631461451
JO-B_L139,12,720575940605238188
JO-B_L141,12,720575940615222201
JO-B_L104,12,720575940610028868
JO-B_L133,12,720575940625624464
JO-B_L62,12,720575940626726021
JO-B_L82,12,720575940631915219
