Neuron name,Codex July 2025
AVLP_pr36/asp10a-1_R5,720575940627363687
AVLP_pr36/asp10a-1_R6,720575940615635037
AVLP_pr36/asp10a-1_R7,720575940615592409
AVLP_pr36/asp10a-1_R8,720575940619688688
AVLP_pr36/asp10a-1_R9,720575940637175349
AVLP_pr36/asp10a-1_R10,720575940628837650
AVLP_pr36/asp10a-1_L1,720575940637834301
AVLP_pr36/asp10a-1_L2,720575940629244357
AVLP_pr36/asp10a-1_L3,720575940602120928
AVLP_pr36/asp10a-1_L4,720575940617034398
AVLP_pr36/asp10a-1_L5,720575940613034602
AVLP_pr36/asp10a-1_L6,720575940609996773
AVLP_pr36/asp10a-1_L7,720575940624662508
AVLP_pr36/asp10a-1_L8,720575940636471408
AVLP_pr36/asp10a-1_L9,720575940604445868
AVLP_pr36/asp10a-1_L10,720575940641972384
AVLP_pr36/asp10a-2_L1,720575940644252951
AVLP_pr36/asp10a-2_L2,720575940623437180
AVLP_pr18-1_R,720575940616941201
AVLP_pr18-1_L,720575940632109775
AVLP_pr18-2_R,720575940630396790
AVLP_pr18-2_L,720575940630302551
AVLP_pr05-1_R1,720575940618477806
AVLP_pr05-1_R2,720575940617529669
AVLP_pr05-1_R3,720575940615798045
AVLP_pr05-1_R4,720575940617193009
AVLP_pr05-1_R5,720575940625839345
AVLP_pr05-1_R6,720575940603331686
AVLP_pr05-1_L1,720575940618048724
AVLP_pr05-1_L2,720575940629414201
AVLP_pr05-1_L3,720575940639494528
AVLP_pr05-1_L4,720575940629349340
AVLP_pr05-1_L5,720575940623849496
AVLP_pr05-1_L6,720575940630303307
AVLP_pr05-2_R1,720575940617943205
AVLP_pr05-2_R2,720575940624172290
AVLP_pr05-2_L,720575940617842196
AVLP_pr05-3_L1,720575940612965791
AVLP_pr05-3_L2,720575940607049941
AVLP_pr05-3_L3,720575940605611209
IPS_pr01-1_R1,720575940615915035
IPS_pr01-1_R2,720575940610088618
IPS_pr01-1_R3,720575940616812217
IPS_pr01-1_R4,720575940624015459
IPS_pr01-1_R5,720575940629851496
IPS_pr01-1_L1,720575940627632428
IPS_pr01-1_L2,720575940617575760
IPS_pr01-1_L3,720575940618292416
IPS_pr01-2_R1,720575940629316152
IPS_pr01-2_R2,720575940624763678
IPS_pr01-2_R3,720575940610678226
IPS_pr01-2_L1,720575940609630357
IPS_pr01-2_L2,720575940619925887
IPS_pr01-2_L3,720575940624732260
IPS_pr01-2_L4,720575940621983757
AVLP_pr11_R,720575940614079715
AVLP_pr11_L1,720575940616783833
AVLP_pr11_L2,720575940610504750
WED_pr02_R1,720575940621835246
WED_pr02_R2,720575940625887631
WED_pr02_R3,720575940616121408
WED_pr02_R4,720575940611674265
WED_pr02_R5,720575940616211013
WED_pr02_R6,720575940615930299
WED_pr02_R7,720575940621540586
WED_pr02_R8,720575940640507763
WED_pr02_R9,720575940620581748
WED_pr02_R10,720575940605308082
WED_pr02_R11,720575940606743170
WED_pr02_L1,720575940632998136
WED_pr02_L2,720575940634299071
WED_pr02_L3,720575940637410394
WED_pr02_L4,720575940635981742
WED_pr02_L5,720575940630258003
WED_pr02_L6,720575940633044634
WED_pr02_L7,720575940612078511
WED_pr02_L8,720575940630749523
WED_pr02_L9,720575940629938487
WED_pr02_L10,720575940628267264
IPS_pr02_R,720575940610116581
IPS_pr02_L,720575940614018060
AVLP_pr23_R,720575940644968302
AVLP_pr23_L,720575940631153194
PVLP_pr03-1_R1,720575940622409983
PVLP_pr03-1_R2,720575940615205427
PVLP_pr03-1_R3,720575940621730910
PVLP_pr03-1_R4,720575940626583056
PVLP_pr03-1_L1,720575940636533574
PVLP_pr03-1_L2,720575940630637330
PVLP_pr03-1_L3,720575940623808520
PVLP_pr03-1_L4,720575940621301274
PVLP_pr03-2_R1,720575940625600284
PVLP_pr03-2_R2,720575940654167201
PVLP_pr03-2_R3,720575940610653462
PVLP_pr03-2_L1,720575940622304243
PVLP_pr03-2_L2,720575940628538732
PVLP_pr03-3_R1,720575940604285356
PVLP_pr03-3_R2,720575940625194558
PVLP_pr03-3_L1,720575940640926627
PVLP_pr03-3_L2,720575940611091012
SAD_pr01_R,720575940624571116
SAD_pr01_L,720575940644488727
AVLP_pr35_R,720575940612409494
AVLP_pr35_L,720575940626196313
vpoEN_R1,720575940619415679
vpoEN_R2,720575940632385943
vpoEN_L1,720575940635403230
vpoEN_L2,720575940634829168
vpoIN-1_R1,720575940614752395
vpoIN-1_R2,720575940618851425
vpoIN-1_R3,720575940612403427
vpoIN-1_R4,720575940628528377
vpoIN-1_R5,720575940628542807
vpoIN-1_L1,720575940623256202
vpoIN-1_L2,720575940632392599
vpoIN-1_L3,720575940629199146
vpoIN-1_L4,720575940627718394
vpoIN-1_L5,720575940633033567
vpoIN-2_R1,720575940628256763
vpoIN-2_R2,720575940616727782
vpoIN-2_R3,720575940620076415
vpoIN-2_L,720575940615200059
vpoIN-3_R,720575940636705502
vpoIN-3_L,720575940615894877
pMN1_R,720575940624463242
pMN1_L,720575940644300323
pMN2_R,720575940613170498
pMN2_L,720575940627496829
pC2la_R1,720575940636910825
pC2la_R2,720575940627670032
pC2la_R3,720575940623855397
pC2la_R4,720575940610455781
pC2la_R5,720575940621431492
pC2la_R6,720575940634545294
pC2la_R7,720575940630344396
pC2la_L1,720575940632522848
pC2la_L2,720575940619302640
pC2la_L3,720575940630057979
pC2la_L4,720575940619675712
pC2lb_R1,720575940638095293
pC2lb_R2,720575940618475101
pC2lb_R3,720575940631179807
pC2lb_R4,720575940626793831
pC2lb_L1,720575940623725972
pC2lb_L2,720575940633300148
pC2lb_L3,720575940640176848
pC2lb_L4,720575940640992731
pC2lb_L5,720575940611401709
pC2lc_L1,720575940620931348
pC2lc_L2,720575940628719375
pC2lc_L3,720575940629407020
pC2ld_L,720575940629017591
pC1d_R,720575940620356545
pC1d_L,720575940646518382
pC1e_R,720575940618364480
pC1e_L,720575940634866586
aPN3_R1,720575940628244064
aPN3_R2,720575940603903264
aPN3_R3,720575940616748756
aPN3_R4,720575940625466387
aPN3_R5,720575940626990086
aPN3_L1,720575940615308729
aPN3_L2,720575940623020263
aPN3_L3,720575940615503249
aPN3_L4,720575940618149336
aPN3_L5,720575940621159181
aPN2_R1,720575940618772719
aPN2_R2,720575940620833974
aPN2_R3,720575940625597317
aPN2_R4,720575940627027087
aPN2_L1,720575940603930046
aPN2_L2,720575940630214564
aPN2_L3,720575940629394232
aPN2_L4,720575940606919602
aPN2_L5,720575940650920569
aPN2_L6,720575940614190242
aPN2_L7,720575940629552170
JO-A_R1,720575940624428728
JO-A_R2,720575940620537435
JO-A_R3,720575940608975371
JO-A_R4,720575940642063245
JO-A_R5,720575940627085199
JO-A_R6,720575940614014614
JO-A_R7,720575940634228124
JO-A_R8,720575940643903904
JO-A_R9,720575940622295585
JO-A_R10,720575940619465131
JO-A_R11,720575940629237036
JO-A_R12,720575940615676334
JO-A_R13,720575940621791664
JO-A_R14,720575940607208114
JO-A_R15,720575940613304883
JO-A_R16,720575940615241010
JO-A_R17,720575940624167093
JO-A_R18,720575940617668537
JO-A_R19,720575940614866242
JO-A_R20,720575940632812867
JO-A_R21,720575940610236740
JO-A_R22,720575940609691075
JO-A_R23,720575940623587780
JO-A_R24,720575940631463495
JO-A_R25,720575940626162378
JO-A_R26,720575940639375182
JO-A_R27,720575940640713680
JO-A_R28,720575940619878485
JO-A_R29,720575940630534615
JO-A_R30,720575940622706653
JO-A_R31,720575940637389534
JO-A_R32,720575940614332899
JO-A_R33,720575940628054760
JO-A_R34,720575940632022888
JO-A_R35,720575940614280554
JO-A_R36,720575940624770540
JO-A_R37,720575940621870576
JO-A_R38,720575940630721910
JO-A_R39,720575940618851963
JO-A_R40,720575940627106173
JO-A_R41,720575940639742627
JO-A_R42,720575940615041064
JO-A_R43,720575940615750318
JO-A_R44,720575940630211127
JO-A_R45,720575940608487772
JO-A_R46,720575940624832231
JO-A_L1,720575940627046010
JO-A_L2,720575940621340429
JO-A_L3,720575940617534110
JO-A_L4,720575940620649641
JO-A_L5,720575940632669741
JO-A_L6,720575940638256949
JO-A_L7,720575940630017603
JO-A_L8,720575940630018115
JO-A_L9,720575940622591049
JO-A_L10,720575940606612937
JO-A_L11,720575940607367125
JO-A_L12,720575940620745825
JO-A_L13,720575940629044071
JO-A_L14,720575940627538947
JO-A_L15,720575940628356358
JO-A_L16,720575940626949513
JO-A_L17,720575940627142666
JO-A_L18,720575940608457483
JO-A_L19,720575940642163341
JO-A_L20,720575940626242191
JO-A_L21,720575940627442197
JO-A_L22,720575940633057943
JO-A_L23,720575940621464344
JO-A_L24,720575940625227672
JO-A_L25,720575940624670759
JO-A_L26,720575940623189799
JO-A_L27,720575940627195691
JO-A_L28,720575940619694512
JO-A_L29,720575940618056753
JO-A_L30,720575940607059122
JO-A_L31,720575940637418549
JO-A_L32,720575940621110454
JO-A_L33,720575940618770625
JO-A_L34,720575940619508033
JO-A_L35,720575940608554052
JO-A_L36,720575940614544582
JO-A_L37,720575940620322753
JO-A_L38,720575940626164938
JO-A_L39,720575940625917386
JO-A_L40,720575940623840589
JO-A_L41,720575940631156431
JO-A_L42,720575940628769239
JO-A_L43,720575940613682911
JO-A_L44,720575940634414959
JO-A_L45,720575940611177586
JO-A_L46,720575940614927989
JO-A_L47,720575940626522620
JO-A_L48,720575940629450366
JO-B_R1,720575940640820788
JO-B_R2,720575940623490794
JO-B_R3,720575940623357675
JO-B_R4,720575940638811507
JO-B_R5,720575940616336245
JO-B_R6,720575940616786315
JO-B_R7,720575940608876471
JO-B_R8,720575940625910714
JO-B_R9,720575940626741265
JO-B_R10,720575940631750687
JO-B_R11,720575940644635172
JO-B_R12,720575940625866789
JO-B_R13,720575940613696552
JO-B_R14,720575940631469098
JO-B_R15,720575940632288815
JO-B_R16,720575940625023024
JO-B_R17,720575940618847281
JO-B_R18,720575940640817204
JO-B_R19,720575940618953270
JO-B_R20,720575940640836660
JO-B_R21,720575940640841268
JO-B_R22,720575940640843316
JO-B_R23,720575940624111177
JO-B_R24,720575940616793174
JO-B_R25,720575940628315232
JO-B_R26,720575940622857827
JO-B_R27,720575940626258532
JO-B_R28,720575940612585577
JO-B_R29,720575940636276336
JO-B_R30,720575940635278455
JO-B_R31,720575940610753656
JO-B_R32,720575940642108557
JO-B_R33,720575940622946963
JO-B_R34,720575940617066653
JO-B_R35,720575940617945246
JO-B_R36,720575940623401128
JO-B_R37,720575940608875703
JO-B_R38,720575940608893623
JO-B_R39,720575940616612025
JO-B_R40,720575940624065724
JO-B_R41,720575940607944384
JO-B_R42,720575940607947456
JO-B_R43,720575940620587713
JO-B_R44,720575940630960325
JO-B_R45,720575940606850761
JO-B_R46,720575940632618700
JO-B_R47,720575940617457881
JO-B_R48,720575940612956378
JO-B_R49,720575940633524443
JO-B_R50,720575940633301217
JO-B_R51,720575940623805159
JO-B_R52,720575940629860089
JO-B_R53,720575940630916347
JO-B_R54,720575940613622014
JO-B_R55,720575940612647166
JO-B_R56,720575940628698371
JO-B_R57,720575940628957443
JO-B_R58,720575940621077253
JO-B_R59,720575940627714310
JO-B_R60,720575940620422413
JO-B_R61,720575940631448338
JO-B_R62,720575940617110306
JO-B_R63,720575940623562534
JO-B_R64,720575940623290153
JO-B_R65,720575940623301417
JO-B_R66,720575940631470378
JO-B_R67,720575940630816569
JO-B_R68,720575940616413509
JO-B_R69,720575940624116553
JO-B_R70,720575940617972052
JO-B_R71,720575940613469545
JO-B_R72,720575940630785388
JO-B_R73,720575940620031341
JO-B_R74,720575940636425584
JO-B_R75,720575940640130432
JO-B_R76,720575940632037260
JO-B_R77,720575940610674581
JO-B_R78,720575940642897312
JO-B_R79,720575940643912608
JO-B_R80,720575940620575653
JO-B_R81,720575940613924271
JO-B_R82,720575940635732916
JO-B_R83,720575940607827392
JO-B_R84,720575940607881152
JO-B_R85,720575940607948224
JO-B_R86,720575940608524224
JO-B_R87,720575940622593476
JO-B_R88,720575940627985351
JO-B_R89,720575940643888584
JO-B_R90,720575940616859622
JO-B_R91,720575940617724390
JO-B_R92,720575940630910971
JO-B_R93,720575940628896299
JO-B_R94,720575940616096306
JO-B_R95,720575940609289284
JO-B_R96,720575940632315473
JO-B_R97,720575940635078239
JO-B_R98,720575940622998115
JO-B_R99,720575940629766782
JO-B_R100,720575940612615833
JO-B_R101,720575940634257564
JO-B_R102,720575940614644898
JO-B_R103,720575940620661931
JO-B_R104,720575940625565368
JO-B_R105,720575940620458735
JO-B_R106,720575940629505274
JO-B_R107,720575940630161152
JO-B_R108,720575940617845505
JO-B_R109,720575940622297855
JO-B_R110,720575940629253376
JO-B_R111,720575940646362403
JO-B_R112,720575940630207799
JO-B_R113,720575940638081855
JO-B_R114,720575940638556998
JO-B_R115,720575940617938772
JO-B_R116,720575940627778393
JO-B_R117,720575940608483164
JO-B_R118,720575940626286432
JO-B_R119,720575940611154786
JO-B_R120,720575940605622118
JO-B_R121,720575940620822893
JO-B_R122,720575940645539694
JO-B_R123,720575940612029297
JO-B_R124,720575940635345271
JO-B_R125,720575940623529875
JO-B_R126,720575940624510868
JO-B_R127,720575940604988332
JO-B_R128,720575940605209521
JO-B_R129,720575940611000274
JO-B_R130,720575940636488667
JO-B_R131,720575940629989879
JO-B_R132,720575940624067581
JO-B_R133,720575940613783038
JO-B_L1,720575940632229457
JO-B_L2,720575940630925330
JO-B_L3,720575940627442709
JO-B_L4,720575940604531229
JO-B_L5,720575940612409885
JO-B_L6,720575940609934365
JO-B_L7,720575940600433181
JO-B_L8,720575940644057635
JO-B_L9,720575940639145550
JO-B_L10,720575940642123917
JO-B_L11,720575940613127314
JO-B_L12,720575940632692378
JO-B_L13,720575940612235439
JO-B_L14,720575940621508336
JO-B_L15,720575940625587970
JO-B_L16,720575940622960422
JO-B_L17,720575940623745869
JO-B_L18,720575940630630225
JO-B_L19,720575940630660951
JO-B_L20,720575940639049560
JO-B_L21,720575940634830175
JO-B_L22,720575940632466784
JO-B_L23,720575940624594276
JO-B_L24,720575940639397747
JO-B_L25,720575940618856896
JO-B_L26,720575940606619081
JO-B_L27,720575940637813220
JO-B_L28,720575940624755180
JO-B_L29,720575940638636533
JO-B_L30,720575940629350394
JO-B_L31,720575940623292925
JO-B_L32,720575940627304963
JO-B_L33,720575940627437572
JO-B_L34,720575940622026757
JO-B_L35,720575940608112137
JO-B_L36,720575940616042508
JO-B_L37,720575940627352595
JO-B_L38,720575940612446744
JO-B_L39,720575940622344216
JO-B_L40,720575940621823514
JO-B_L41,720575940619572762
JO-B_L42,720575940617541147
JO-B_L43,720575940605755424
JO-B_L44,720575940632129567
JO-B_L45,720575940629275180
JO-B_L46,720575940636990005
JO-B_L47,720575940639745085
JO-B_L48,720575940637612095
JO-B_L49,720575940638191679
JO-B_L50,720575940613776962
JO-B_L51,720575940631461451
JO-B_L52,720575940639970392
JO-B_L53,720575940617517661
JO-B_L54,720575940634178656
JO-B_L55,720575940622552163
JO-B_L56,720575940634892389
JO-B_L57,720575940615540841
JO-B_L58,720575940628159081
JO-B_L59,720575940616653429
JO-B_L60,720575940629806206
JO-B_L61,720575940629269630
JO-B_L62,720575940626726021
JO-B_L63,720575940642442893
JO-B_L64,720575940614795410
JO-B_L65,720575940610341525
JO-B_L66,720575940634229399
JO-B_L67,720575940628910235
JO-B_L68,720575940613956767
JO-B_L69,720575940620386981
JO-B_L70,720575940612129962
JO-B_L71,720575940604054188
JO-B_L72,720575940605219500
JO-B_L73,720575940612355763
JO-B_L74,720575940612419763
JO-B_L75,720575940623474871
JO-B_L76,720575940615387846
JO-B_L77,720575940627927751
JO-B_L78,720575940606872777
JO-B_L79,720575940606938313
JO-B_L80,720575940619941067
JO-B_L81,720575940619969227
JO-B_L82,720575940631915219
JO-B_L83,720575940630467804
JO-B_L84,720575940635217144
JO-B_L85,720575940613006590
JO-B_L86,720575940626693894
JO-B_L87,720575940622978823
JO-B_L88,720575940628467462
JO-B_L89,720575940614205708
JO-B_L90,720575940645085975
JO-B_L91,720575940645086999
JO-B_L92,720575940645087511
JO-B_L93,720575940620422938
JO-B_L94,720575940645089559
JO-B_L95,720575940609527069
JO-B_L96,720575940612407581
