,old_id,new_id,confidence,changed
159,720575940608716809,720575940608716809,1,False
160,720575940608735241,720575940608735241,1,False
161,720575940608960722,720575940608960722,1,False
162,720575940609376707,720575940609376707,1,False
163,720575940609488942,720575940609488942,1,False
164,720575940609589443,720575940609589443,1,False
165,720575940610001220,720575940610001220,1,False
166,720575940610231509,720575940610231509,1,False
167,720575940610472146,720575940610472146,1,False
168,720575940610604078,720575940610604078,1,False
169,720575940610610841,720575940610610841,1,False
170,720575940611308181,720575940611308181,1,False
171,720575940611531986,720575940611531986,1,False
172,720575940611756723,720575940611756723,1,False
173,720575940611772083,720575940611772083,1,False
174,720575940611782874,720575940611782874,1,False
175,720575940611807795,720575940611807795,1,False
176,720575940611939290,720575940611939290,1,False
177,720575940612019825,720575940612019825,1,False
178,720575940612036837,720575940612036837,1,False
179,720575940612203482,720575940612203482,1,False
180,720575940612206810,720575940612206810,1,False
181,720575940612376805,720575940612376805,1,False
182,720575940612648106,720575940612648106,1,False
183,720575940613019541,720575940613019541,1,False
184,720575940613170498,720575940613170498,1,False
185,720575940613307033,720575940613307033,1,False
186,720575940613339875,720575940613339875,1,False
187,720575940613347299,720575940613347299,1,False
188,720575940613403890,720575940613403890,1,False
189,720575940613816062,720575940613816062,1,False
190,720575940613838289,720575940613838289,1,False
191,720575940613929391,720575940613929391,1,False
192,720575940614129617,720575940614129617,1,False
193,720575940614137907,720575940614137907,1,False
194,720575940614165201,720575940614165201,1,False
195,720575940614186449,720575940614186449,1,False
196,720575940614363619,720575940614363619,1,False
197,720575940614588778,720575940614588778,1,False
198,720575940614642838,720575940614642838,1,False
199,720575940614736034,720575940614736034,1,False
200,720575940615030568,720575940615030568,1,False
201,720575940615251251,720575940615251251,1,False
202,720575940615292895,720575940615292895,1,False
203,720575940615378399,720575940615378399,1,False
204,720575940615607207,720575940615607207,1,False
205,720575940615666655,720575940615666655,1,False
206,720575940615798470,720575940615798470,1,False
207,720575940615898730,720575940615898730,1,False
208,720575940615958203,720575940615958203,1,False
209,720575940616026939,720575940616026939,1,False
210,720575940616293855,720575940616293855,1,False
211,720575940616353675,720575940616353675,1,False
212,720575940616597334,720575940616597334,1,False
213,720575940616936226,720575940616936226,1,False
214,720575940617031385,720575940617031385,1,False
215,720575940617140597,720575940617140597,1,False
216,720575940617373268,720575940617373268,1,False
217,720575940617390641,720575940617390641,1,False
218,720575940617399257,720575940617399257,1,False
219,720575940617432065,720575940617432065,1,False
220,720575940617554577,720575940617554577,1,False
221,720575940617809181,720575940617809181,1,False
222,720575940617950877,720575940617950877,1,False
223,720575940617952034,720575940617952034,1,False
224,720575940618291520,720575940618291520,1,False
225,720575940618393478,720575940618393478,1,False
226,720575940618398533,720575940618398533,1,False
227,720575940618514043,720575940618514043,1,False
228,720575940618519454,720575940618519454,1,False
229,720575940618574749,720575940618574749,1,False
230,720575940618663838,720575940618663838,1,False
231,720575940618762605,720575940618762605,1,False
232,720575940618936710,720575940618936710,1,False
233,720575940618947956,720575940618947956,1,False
234,720575940619024542,720575940619024542,1,False
235,720575940619038366,720575940619038366,1,False
236,720575940619077755,720575940619077755,1,False
237,720575940619432261,720575940619432261,1,False
238,720575940619486891,720575940619486891,1,False
239,720575940619530187,720575940619530187,1,False
240,720575940619582168,720575940619582168,1,False
241,720575940619654053,720575940619654053,1,False
242,720575940619678366,720575940619678366,1,False
243,720575940619751872,720575940619751872,1,False
244,720575940619877396,720575940619877396,1,False
245,720575940619945931,720575940619945931,1,False
246,720575940620017261,720575940620017261,1,False
247,720575940620038779,720575940620038779,1,False
248,720575940620135645,720575940620135645,1,False
