,0
720575940640325429,0.00010538295528872336
720575940622675421,0.015510767622156524
720575940628731140,0.009931091174611138
720575940644751652,0.005223515055084765
720575940607384242,0.0070718078694906854
720575940615378700,0.038238686207512196
720575940615692690,0.47889027220961805
720575940620543025,0.007601195750880952
720575940620582260,0.34204370861100486
720575940622010373,0.0009406248422754012
720575940623019544,0.0530578902755701
720575940624402173,0.004920258263920251
720575940625489160,0.002705737132854403
720575940630135084,0.017007241456230972
720575940630221509,0.27632780208917024
720575940633529548,0.0004105489157909333
720575940635549620,0.0084770549935002
720575940647228468,8.595520723828202e-05
720575940604737708,0.00015304694163384823
720575940609097429,0.0012288933176995778
720575940611108676,0.12042446914097563
720575940611735514,0.046018603299771685
720575940612488341,0.042646527986260764
720575940613408552,0.0038155139941797064
720575940616185531,0.0013787960793339381
720575940616286175,0.005711691564023622
720575940616376287,0.00158495477146852
720575940616400470,0.01939683663229472
720575940616471052,0.0014042935119895495
720575940617904208,0.09786336523498736
720575940618203707,0.03150594965211437
720575940619038493,0.06027325384197641
720575940620156283,0.1374724607753037
720575940620541099,0.06490656736231587
720575940621157645,0.007630802164999636
720575940621519130,0.0005499918997736751
720575940621530117,0.029665498782770878
720575940621628582,0.0004280800287125136
720575940622500172,0.0001004726268761266
720575940622633716,0.005449404007041356
720575940623503318,0.0073439158223118
720575940624407944,0.6814852485436774
720575940624897516,0.025442897007966744
720575940624977847,0.9246809644311796
720575940625502666,0.0015984740663856768
720575940625539984,0.0008313145332621715
720575940625733351,0.027442194973435866
720575940625870640,0.06620118875035706
720575940626328707,0.04141535320093881
720575940626859283,0.5164838240005178
720575940627015196,0.25525490512385657
720575940627750216,0.019150838521265427
720575940627790991,0.15318706604083163
720575940627825923,0.049392056349516184
720575940628125715,0.0005300996008828671
720575940629327659,0.00140377563834944
720575940629805950,0.013719939893146883
720575940630607738,0.0017762528246386513
720575940631122191,0.015528114421970005
720575940632991815,0.018521021935873086
720575940633228103,0.0939009866815805
720575940634458719,0.1340286511058947
720575940634750871,0.021426813006324635
720575940635552948,0.04096073276822629
720575940635640312,0.09770575295299844
720575940635872101,0.029235233067213526
720575940636656632,0.0066445670518276035
720575940637607646,0.011159476597015125
720575940638204132,0.005095108400836934
720575940639152361,0.02193563906029696
720575940639242303,0.009197739776483123
720575940639428174,0.04042515681145697
720575940640978048,3.68716952791485e-05
720575940641278965,0.02942227340384701
720575940644467360,0.000762342971135519
720575940646814340,0.007221873377909451
720575940650929273,0.023231819307894978
720575940604783136,0.5658486601485401
720575940604954289,0.1948136640217522
720575940605162924,0.007746790421202049
720575940605702944,0.010671393435248666
720575940606112940,0.004090096041829611
720575940606425033,0.015129809045262437
720575940608716809,0.000977898499281253
720575940609376707,0.003445945881216614
720575940610472146,0.04082777792866754
720575940610604078,0.004165371457217405
720575940611308181,0.037202425641526884
720575940611772083,0.0013658495762298947
720575940612203482,0.26824841697004864
720575940613019541,0.02498300242956856
720575940613170498,0.9512734366081538
720575940613307033,0.010675592185445323
720575940613339875,0.004865799587255678
