,Neuron name,Codex July 2025,new_id
278,AVLP_pr31_L2,720575940627827450,720575940627827450
279,AVLP_pr32_L1,720575940648981881,720575940648981881
280,AVLP_pr32_L2,720575940610929379,720575940610929379
281,AVLP_pr32_L3,720575940617353433,720575940617353433
282,SAD_pr02_R1,720575940621324996,720575940621324996
283,SAD_pr02_R2,720575940617197057,720575940617197057
284,SAD_pr02_R3,720575940617884736,720575940617884736
285,SAD_pr02_R4,720575940630659446,720575940630659446
286,SAD_pr02_R5,720575940615868485,720575940615868485
287,SAD_pr02_R6,720575940612338674,720575940612338674
288,SAD_pr02_R7,720575940623292713,720575940623292713
289,SAD_pr02_L1,720575940620910774,720575940620910774
290,SAD_pr02_L2,720575940608432760,720575940608432760
291,SAD_pr02_L3,720575940633040097,720575940633040097
292,SAD_pr02_L4,720575940623090446,720575940623090446
293,SAD_pr02_L5,720575940627939177,720575940627939177
294,SAD_pr02_L6,720575940645497140,720575940645497140
295,SAD_pr02_L7,720575940615625053,720575940615625053
296,SAD_pr02_L8,720575940620859886,720575940620859886
297,SAD_pr02_L9,720575940628846966,720575940628846966
298,SAD_pr02_L10,720575940611335859,720575940611335859
299,AVLP_pr04_R1,720575940629513478,720575940629513478
300,AVLP_pr04_L1,720575940623113752,720575940623113752
301,AVLP_pr12_R1,720575940628333788,720575940628333788
302,AVLP_pr12_R2,720575940620424472,720575940620424472
303,AVLP_pr12_R3,720575940635130905,720575940635130905
304,AVLP_pr12_R4,720575940626869403,720575940626869403
305,AVLP_pr12_R5,720575940632011420,720575940632011420
306,AVLP_pr12_R6,720575940637319134,720575940637319134
307,AVLP_pr12_R7,720575940616650589,720575940616650589
308,AVLP_pr12_R8,720575940624273395,720575940624273395
309,AVLP_pr12_R9,720575940625194014,720575940625194014
310,AVLP_pr12_L1,720575940614437462,720575940614437462
311,AVLP_pr12_L2,720575940626885124,720575940626885124
312,AVLP_pr12_L3,720575940637079667,720575940637079667
313,AVLP_pr12_L4,720575940634371941,720575940634371941
314,AVLP_pr12_L5,720575940608082990,720575940608082990
