,pre_pt_root_id,post_pt_root_id,neuropil,syn_count,nt_type,Excitatory,Signed_Connectivity,Presynaptic_Index,Postsynaptic_Index
55826,720575940621887732,720575940618599277,SAD,1,,-1,-1,955,56
55827,720575940638636533,720575940629065154,SAD,1,ACH,1,1,830,133
55828,720575940616479121,720575940625454596,AMMC_R,7,ACH,1,7,1233,86
55829,720575940621717469,720575940627939177,AMMC_L,1,GABA,-1,-1,182,290
55830,720575940619925887,720575940638666473,IPS_L,4,GABA,-1,-4,379,225
55831,720575940643791304,720575940619405812,SAD,4,,-1,-4,712,42
55832,720575940619688688,720575940611401709,ICL_L,1,ACH,1,1,330,474
55833,720575940634545294,720575940624463242,SIP_R,1,ACH,1,1,460,451
55834,720575940635282910,720575940631693610,WED_R,1,ACH,1,1,55,0
55835,720575940625293084,720575940627455621,AMMC_R,2,ACH,1,2,1095,76
55836,720575940618901424,720575940634877850,SAD,2,,-1,-2,921,70
55837,720575940631866508,720575940620444654,SAD,1,ACH,1,1,1152,1012
55838,720575940614847906,720575940607188036,AL_L,3,,-1,-3,751,17
55839,720575940624314468,720575940623621157,WED_R,6,ACH,1,6,215,213
55840,720575940619783518,720575940628256763,AVLP_R,4,GABA,-1,-4,187,445
55841,720575940633044634,720575940604839200,SAD,6,GABA,-1,-6,401,30
55842,720575940623412360,720575940618772719,AMMC_R,1,,-1,-1,1366,493
55843,720575940609541917,720575940609832410,SAD,1,ACH,1,1,1011,66
55844,720575940626162378,720575940621717469,AMMC_R,2,ACH,1,2,526,182
55845,720575940645497140,720575940631098338,AMMC_L,2,GABA,-1,-2,291,1575
55846,720575940631098338,720575940606919602,SAD,1,,-1,-1,1575,500
55847,720575940629014119,720575940619341105,SAD,1,,-1,-1,1502,1293
55848,720575940630625132,720575940619210968,GNG,1,ACH,1,1,1539,1514
55849,720575940616121408,720575940605095346,SAD,1,GABA,-1,-1,387,172
55850,720575940612338674,720575940654117025,AMMC_R,2,GABA,-1,-2,284,38
55851,720575940615930299,720575940616211013,AMMC_R,2,GABA,-1,-2,390,389
55852,720575940618599872,720575940627939177,SAD,1,ACH,1,1,1067,290
55853,720575940641372661,720575940625483962,WED_L,2,,-1,-2,943,91
55854,720575940629938487,720575940644057635,AMMC_L,2,GABA,-1,-2,404,692
55855,720575940608986069,720575940612341490,AMMC_R,1,,-1,-1,1340,1346
55856,720575940627282279,720575940614190242,AMMC_L,4,ACH,1,4,1061,502
55857,720575940619940811,720575940607188036,AMMC_L,3,,-1,-3,733,17
55858,720575940618392912,720575940618599277,SAD,1,ACH,1,1,69,56
55859,720575940622998115,720575940630916347,AMMC_R,1,,-1,-1,898,671
55860,720575940604201830,720575940605095346,GNG,1,GABA,-1,-1,184,172
55861,720575940630258003,720575940604445868,AVLP_L,1,GABA,-1,-1,400,341
55862,720575940618833840,720575940619783518,AVLP_R,4,ACH,1,4,139,187
55863,720575940625887631,720575940618066415,WED_R,3,GABA,-1,-3,386,41
55864,720575940611674265,720575940619415679,SAD,2,GABA,-1,-2,388,431
55865,720575940620422938,720575940622577336,AMMC_L,2,ACH,1,2,765,80
55866,720575940622295585,720575940622123981,SAD,5,,-1,-5,510,170
55867,720575940632084705,720575940603930046,AMMC_L,1,ACH,1,1,105,497
55868,720575940618603179,720575940617795814,SAD,1,ACH,1,1,1581,1609
55869,720575940626748232,720575940624109464,AMMC_R,2,ACH,1,2,1098,114
55870,720575940629022149,720575940630202624,SAD,1,ACH,1,1,1026,1134
55871,720575940638064100,720575940615723077,SAD,4,ACH,1,4,1177,58
55872,720575940610236740,720575940644968302,AMMC_R,7,ACH,1,7,522,408
55873,720575940620801304,720575940613170498,SCL_R,1,ACH,1,1,271,453
55874,720575940614018060,720575940618409797,SAD,1,GABA,-1,-1,407,59
55875,720575940610077026,720575940620195719,AVLP_R,7,ACH,1,7,21,190
55876,720575940635403230,720575940624463242,EPA_R,2,ACH,1,2,433,451
55877,720575940613304883,720575940624571116,AMMC_R,7,ACH,1,7,515,427
55878,720575940625600284,720575940624463242,AVLP_R,2,GABA,-1,-2,418,451
55879,720575940629188251,720575940637663662,SAD,3,,-1,-3,1286,53
55880,720575940620581748,720575940605209521,AMMC_R,3,GABA,-1,-3,393,817
55881,720575940618603179,720575940619930965,SAD,1,ACH,1,1,1581,1329
55882,720575940622123981,720575940606743170,SAD,7,GABA,-1,-7,170,395
55883,720575940632288815,720575940626274314,SAD,1,,-1,-1,624,600
55884,720575940622969528,720575940623547685,AVLP_L,5,ACH,1,5,157,154
55885,720575940629552170,720575940627455621,AMMC_L,5,ACH,1,5,503,76
55886,720575940617034398,720575940636471408,BU_L,2,ACH,1,2,336,340
55887,720575940632945177,720575940631693610,AMMC_R,14,GABA,-1,-14,180,0
55888,720575940626162378,720575940632812867,SAD,1,ACH,1,1,526,521
55889,720575940615635037,720575940641972384,EPA_R,1,ACH,1,1,328,342
55890,720575940638636533,720575940609630357,AMMC_L,5,ACH,1,5,830,378
